ano;escolaridade;rendimento_bruto_ate_14_horas;rendimento_bruto_15_ate_39_horas;rendimento_bruto_40_ate_44_horas;rendimento_bruto_44_ate_48_horas;rendimento_bruto_49_mais
2022;Ensino Fundamental;944,112481225109;1113,274384788519;1658,07864675752;1740,61204162484;2204,55873297328
2022;Ensino Médio;1098,614201004618;1281,253070527792;1781,90756638551;1820,14483010496;2376,93790485938
2022;Ensino Superior;2806,468143275773;2879,079531617446;3595,10504875098;3639,11093835616;5059,11496539371
2022;Sem Instrução Formal;689,411679059430;955,463689418691;1538,06329685809;1603,41776615584;1762,20446580570
2023;Ensino Fundamental;1001,024793750206;1246,470163350535;1935,06788078550;2061,34589325684;2953,18410468142
2023;Ensino Médio;1306,666582743271;1501,150188240782;2103,57640871676;2183,91260446859;2774,80688157727
2023;Ensino Superior;3218,997815129991;3389,428542209341;4058,23833163919;4190,85235569153;6182,41511824380
2023;Sem Instrução Formal;853,798815293333;1126,182564981701;1818,64145261888;2075,42390754317;1829,61999068486
2024;Ensino Fundamental;1001,024793750206;1246,470163350535;1935,06788078550;2061,34589325684;2953,18410468142
2024;Ensino Médio;1306,666582743271;1501,150188240782;2103,57640871676;2183,91260446859;2774,80688157727
2024;Ensino Superior;3218,997815129991;3389,428542209341;4058,23833163919;4190,85235569153;6182,41511824380
2024;Sem Instrução Formal;853,798815293333;1126,182564981701;1818,64145261888;2075,42390754317;1829,61999068486
